;;;;;;
;Paper ID;Compuesto;Número de C;Temperatura [K];Presión [kPa];
;P13;N-eicosano;20;433,053;0,244;
;P13;N-eicosano;20;443,06;0,4018;
;P13;N-eicosano;20;453,068;0,6411;
;P13;N-eicosano;20;463,076;1,006;
;P13;N-eicosano;20;473,084;1,537;
;P13;N-eicosano;20;473,126;1,538;
;P13;N-eicosano;20;483,126;2,301;
;P13;N-eicosano;20;493,097;3,358;
;P13;N-eicosano;20;503,104;4,812;
;P13;N-eicosano;20;513,111;6,771;
;P13;N-eicosano;20;523,119;9,359;
;P13;N-eicosano;20;533,129;12,738;
;P13;N-eicosano;20;543,129;17,04;
;P13;N-eicosano;20;558,13;25,738;
;P13;N-eicosano;20;573,13;37,745;
;P13;N-eicosano;20;588,132;54,21;
;P21;eicosano;20;344,3;0,000410612;
;P21;eicosano;20;353,05;0,000973204;
;P21;eicosano;20;359,85;0,001693108;
;P21;eicosano;20;363,5;0,002333022;
;P21;eicosano;20;367,65;0,003266231;
;P21;eicosano;20;376,1;0,006719104;
;P21;eicosano;20;380,45;0,009132116;
;P27;eicosano;20;351;0,000641;
;P27;eicosano;20;353;0,000961;
;P27;eicosano;20;355;0,00128;
;P27;eicosano;20;357;0,00152;
;P27;eicosano;20;359;0,00184;
;P27;eicosano;20;362;0,0024;
;P27;eicosano;20;365;0,0036;
;P27;eicosano;20;367;0,00417;
;P27;eicosano;20;369;0,00497;
;P27;eicosano;20;372;0,00657;
;P27;eicosano;20;375;0,00833;
;P27;eicosano;20;377;0,0104;
;P27;eicosano;20;381;0,0151;
;P27;eicosano;20;384;0,0194;
;P27;henicosano;21;365;0,000961;
;P27;henicosano;21;369;0,00144;
;P27;henicosano;21;374;0,00224;
;P27;henicosano;21;377;0,00304;
;P27;henicosano;21;381;0,00433;
;P27;henicosano;21;383;0,00545;
;P27;henicosano;21;385,5;0,00673;
;P27;henicosano;21;389,5;0,00961;
;P27;henicosano;21;392;0,0123;
;P27;henicosano;21;396;0,017;
;P27;henicosano;21;399,5;0,0231;
;P13;N-docosano;22;453,068;0,2432;
;P13;N-docosano;22;463,076;0,3942;
;P13;N-docosano;22;473,083;0,6287;
;P13;N-docosano;22;483,09;0,9767;
;P13;N-docosano;22;493,097;1,48;
;P13;N-docosano;22;503,127;2,186;
;P13;N-docosano;22;513,112;3,181;
;P13;N-docosano;22;523,12;4,524;
;P13;N-docosano;22;533,12;6,33;
;P13;N-docosano;22;543,129;8,695;
;P13;N-docosano;22;558,13;13,648;
;P13;N-docosano;22;573,13;20,72;
;P27;docosano;22;372;0,000721;
;P27;docosano;22;374;0,000881;
